leaning rate,max training epochs,batch_size,h1,h2-RELU,h3-RELU,h4,Percentage for Test set
cost/10,1000,10,200,200,200,200,4.166666667
Test Set starts at:,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
transfer 1,24,10,2,8,0.75,0.833333333,0.772727273
transfer 2,28,4,12,0,1,0.25,0.727272727
transfer 3,20,8,4,12,0.625,0.666666667,0.636363636
transfer 4,18,12,4,10,0.642857143,0.75,0.681818182
transfer 5,28,6,6,4,0.875,0.5,0.772727273
transfer 6,26,6,10,2,0.928571429,0.375,0.727272727
transfer 7,20,10,6,8,0.714285714,0.625,0.681818182
transfer 8,22,12,4,6,0.785714286,0.75,0.772727273
transfer 9,10,8,23,2,0.833333333,0.258064516,0.418604651
transfer 10,12,8,8,16,0.428571429,0.5,0.454545455
transfer 11,12,10,18,4,0.75,0.357142857,0.5
transfer 12,10,16,12,6,0.625,0.571428571,0.590909091
transfer 13,18,10,10,6,0.75,0.5,0.636363636
transfer 14,20,8,12,4,0.833333333,0.4,0.636363636
transfer 15,22,12,4,6,0.785714286,0.75,0.772727273
transfer 16,26,4,8,6,0.8125,0.333333333,0.681818182
transfer 17,10,14,6,14,0.416666667,0.7,0.545454545
transfer 18,14,6,14,10,0.583333333,0.3,0.454545455
transfer 19,16,12,8,8,0.666666667,0.6,0.636363636
transfer 20,10,6,26,2,0.833333333,0.1875,0.363636364
transfer 21,30,4,0,10,0.75,1,0.772727273
transfer 22,36,4,0,4,0.9,1,0.909090909
transfer 23,34,4,0,6,0.85,1,0.863636364
transfer 24,18,4,0,22,0.45,1,0.5
,,,,,,,
,,,,,0.732911706,0.591977887,0.646229739
