leaning rate,max training epochs,batch_size,h1,h2-RELU,h3-RELU,h4,Percentage for Test set
cost/10,1000,10,200,200,200,200,4.166666667
Test Set starts at:,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
transfer 1,7,3,0,1,0.875,1,0.909090909
transfer 2,6,3,1,1,0.857142857,0.75,0.818181818
transfer 3,8,3,0,0,1,1,1
transfer 4,6,2,2,1,0.857142857,0.5,0.727272727
transfer 5,6,3,0,2,0.75,1,0.818181818
transfer 6,7,4,0,0,1,1,1
transfer 7,7,2,2,0,1,0.5,0.818181818
transfer 8,7,4,0,0,1,1,1
transfer 9,2,0,7,1,0.666666667,0,0.2
transfer 10,1,3,1,6,0.142857143,0.75,0.363636364
transfer 11,4,2,5,0,1,0.285714286,0.545454545
transfer 12,2,2,5,2,0.5,0.285714286,0.363636364
transfer 13,6,2,3,0,1,0.4,0.727272727
transfer 14,4,1,4,2,0.666666667,0.2,0.454545455
transfer 15,4,2,2,3,0.571428571,0.5,0.545454545
transfer 16,6,1,2,2,0.75,0.333333333,0.636363636
transfer 17,3,2,3,3,0.5,0.4,0.454545455
transfer 18,4,2,3,2,0.666666667,0.4,0.545454545
transfer 19,3,3,2,3,0.5,0.6,0.545454545
transfer 20,3,3,5,0,1,0.375,0.545454545
transfer 21,7,1,0,3,0.7,1,0.727272727
transfer 22,10,1,0,0,1,1,1
transfer 23,8,1,0,2,0.8,1,0.818181818
transfer 24,5,1,0,5,0.5,1,0.545454545
,,,,,,,
,,,,,0.76264881,0.636656746,0.671212121
