picture,Label
new_pictures/1A.bmp_0.jpg,positive
new_pictures/1A.bmp_1.jpg,positive
new_pictures/1A.bmp_2.jpg,positive
new_pictures/1A.bmp_3.jpg,positive
new_pictures/1A.bmp_4.jpg,positive
new_pictures/1A.bmp_5.jpg,negative
new_pictures/1A.bmp_6.jpg,positive
new_pictures/1A.bmp_7.jpg,negative
new_pictures/1A.bmp_8.jpg,negative
new_pictures/1A.bmp_9.jpg,positive
new_pictures/1A.bmp_10.jpg,negative
new_pictures/2A.bmp_0.jpg,positive
new_pictures/2A.bmp_1.jpg,negative
new_pictures/2A.bmp_2.jpg,negative
new_pictures/2A.bmp_3.jpg,positive
new_pictures/2A.bmp_4.jpg,negative
new_pictures/2A.bmp_5.jpg,negative
new_pictures/2A.bmp_6.jpg,negative
new_pictures/2A.bmp_7.jpg,negative
new_pictures/2A.bmp_8.jpg,positive
new_pictures/2A.bmp_9.jpg,negative
new_pictures/2A.bmp_10.jpg,negative
new_pictures/3A.bmp_0.jpg,positive
new_pictures/3A.bmp_1.jpg,positive
new_pictures/3A.bmp_2.jpg,positive
new_pictures/3A.bmp_3.jpg,positive
new_pictures/3A.bmp_4.jpg,positive
new_pictures/3A.bmp_5.jpg,negative
new_pictures/3A.bmp_6.jpg,positive
new_pictures/3A.bmp_7.jpg,negative
new_pictures/3A.bmp_8.jpg,negative
new_pictures/3A.bmp_9.jpg,positive
new_pictures/3A.bmp_10.jpg,negative
new_pictures/4A.bmp_0.jpg,positive
new_pictures/4A.bmp_1.jpg,positive
new_pictures/4A.bmp_2.jpg,negative
new_pictures/4A.bmp_3.jpg,positive
new_pictures/4A.bmp_4.jpg,positive
new_pictures/4A.bmp_5.jpg,negative
new_pictures/4A.bmp_6.jpg,positive
new_pictures/4A.bmp_7.jpg,negative
new_pictures/4A.bmp_8.jpg,negative
new_pictures/4A.bmp_9.jpg,positive
new_pictures/4A.bmp_10.jpg,negative
new_pictures/5A.bmp_0.jpg,positive
new_pictures/5A.bmp_1.jpg,positive
new_pictures/5A.bmp_2.jpg,negative
new_pictures/5A.bmp_3.jpg,positive
new_pictures/5A.bmp_4.jpg,negative
new_pictures/5A.bmp_5.jpg,negative
